MuJoCo 3.13.0. Passive force is read from MuJoCo's own bias function, as a share of each muscle's declared peak isometric force.
Postures are filtered to those where no two of the hand's own geoms interpenetrate.

CORRECTED, run12
  muscle               range  at rest   median     90th      max  share over 0.10
  ECRL        0.802 to 1.211    0.000    0.000    0.055    0.323            4.8%
  ECRB        0.733 to 1.271    0.000    0.000    0.152    0.532           15.4%
  ECU         0.817 to 1.262    0.000    0.030    0.245    0.495           30.3%
  FCR         0.762 to 1.327    0.000    0.002    0.294    0.766           29.2%
  FCU         0.647 to 1.414    0.000    0.027    0.543    1.144           40.1%
  PL          0.613 to 1.404    0.000    0.002    0.458    1.100           34.4%
  PT          0.612 to 1.466    0.000    0.000    1.011    1.369           30.9%
  PQ          0.612 to 1.466    0.127    0.043    1.312    1.369           46.8%
  FDS5        0.612 to 1.466    0.251    0.010    0.344    1.369           28.6%
  FDS4        0.640 to 1.437    0.243    0.014    0.343    1.245           29.4%
  FDS3        0.612 to 1.466    0.494    0.030    0.452    1.369           37.6%
  FDS2        0.620 to 1.458    0.392    0.055    0.422    1.335           41.3%
  FDP5        0.653 to 1.425    0.478    0.039    0.356    1.191           34.7%
  FDP4        0.637 to 1.441    0.515    0.026    0.374    1.261           30.8%
  FDP3        0.651 to 1.426    0.446    0.019    0.365    1.197           30.1%
  FDP2        0.612 to 1.466    0.565    0.053    0.423    1.369           38.7%
  EDC5        0.728 to 1.449    0.000    0.131    0.478    1.295           56.1%
  EDC4        0.612 to 1.466    0.000    0.065    0.477    1.369           43.0%
  EDC3        0.676 to 1.466    0.000    0.091    0.640    1.369           48.5%
  EDC2        0.632 to 1.466    0.000    0.053    0.398    1.369           42.2%
  EDM         0.753 to 1.381    0.000    0.062    0.281    1.001           38.9%
  EIP         0.635 to 1.466    0.000    0.046    0.415    1.369           38.8%
  EPL         0.612 to 1.466    0.000    0.000    0.172    1.369           15.6%
  EPB         0.714 to 1.364    0.102    0.006    0.265    0.926           24.8%
  FPL         0.612 to 1.466    0.119    0.000    0.210    1.369           18.7%
  APL         0.809 to 1.146    0.000    0.000    0.033    0.149            1.2%
  OP          0.765 to 1.180    0.000    0.011    0.155    0.234           20.6%
  FPB         0.753 to 1.188    0.000    0.000    0.098    0.256            9.9%
  AdP         0.451 to 1.305    0.000    0.000    0.143    0.670           12.4%
  APB         0.792 to 1.056    0.000    0.000    0.009    0.023            0.0%
  FDM         0.719 to 1.024    0.000    0.000    0.000    0.004            0.0%
  ADM         0.841 to 1.026    0.000    0.000    0.000    0.005            0.0%
  RI2         0.612 to 1.466    0.659    0.000    0.431    1.298           15.0%
  LU_RB2      0.612 to 1.466    0.007    0.001    0.373    1.369           26.7%
  UI_UB2      0.612 to 1.466    0.000    0.005    0.471    1.369           33.0%
  RI3         0.612 to 1.466    0.797    0.069    0.976    1.365           47.6%
  LU_RB3      0.612 to 1.466    0.310    0.044    0.689    1.369           43.5%
  UI_UB3      0.612 to 1.466    0.094    0.000    0.657    1.362           23.3%
  RI4         0.612 to 1.466    0.767    0.111    1.001    1.369           50.5%
  LU_RB4      0.612 to 1.466    0.247    0.003    0.653    1.378           31.5%
  UI_UB4      0.612 to 1.466    0.000    0.000    0.261    1.325           20.3%
  RI5         0.612 to 1.466    0.605    0.071    1.044    1.369           47.0%
  LU_RB5      0.612 to 1.466    0.000    0.044    0.550    1.369           40.9%
  UI_UB5      0.612 to 1.466    0.044    0.000    0.332    1.302           23.6%

  muscles above a tenth of peak somewhere in the holdable range: 41 of 44
  muscles above a tenth of peak at the MEDIAN holdable posture:   2 of 44
  muscles above a tenth of peak AT REST:                          17 of 44
