# Generated by build_range_correction_2026-09-12.py from the built model.
# Not typed. Requirement 1 of the four Elizabeth Schumann accepted on September 12, 2026.
# lengthrange is measured over postures with no interpenetration of the hand's own geoms.
# grade A: McFarland's published optimal fibre length under a matching name. A-f: a published figure exists and the model cannot honour it, so the fallback was used and the reason is in why_not. B: naming inferred. C: lumped unit, no single figure can be right. D: no counterpart.
muscle	grade	target_L0_mm	source	lengthrange_lo_mm	lengthrange_hi_mm	range_lo	range_hi	derived_L0_mm	derived_tendon_mm	feasible	declared_lo_mm	declared_hi_mm	why_not
ECRL	A	81.000	ECRL	316.3650	349.5250	0.80207	1.21145	81.0005	251.3969	yes	316.355	349.534	
ECRB	A	58.500	ECRB	269.9880	301.4840	0.73301	1.27140	58.5003	227.1067	yes	269.970	301.495	
ECU	A	62.200	ECU	279.0600	306.7300	0.81675	1.26161	62.1993	228.2587	yes	279.041	306.754	
FCR	A	62.800	FCR	296.0750	331.5470	0.76196	1.32680	62.8001	248.2238	yes	295.866	331.494	
FCU	A	50.900	FCU	295.5960	334.6410	0.64684	1.41393	50.9002	262.6717	yes	293.357	332.707	
PL	A	63.800	PL	312.3590	362.8200	0.61295	1.40387	63.8004	273.2526	yes	311.593	362.396	
PT	D	26.882	fallback, span over 0.8540	147.9350	170.8930	0.61181	1.46583	26.8823	131.4882	yes	147.243	170.204	
PQ	D	17.666	fallback, span over 0.8540	22.0800	37.1670	0.61181	1.46583	17.6659	11.2718	yes	22.079	37.167	the default posture sits 0.610 of the way up this muscle's own travel, so no window puts it at or below the force peak; the window is centred instead
FDS5	A-f	74.933	fallback, span over 0.8540, because FDSL's published 51.50 mm needs a window 1.243 wide and the usable support is 0.8540	365.6380	429.6320	0.61181	1.46583	74.9327	319.7934	yes	354.916	423.992	the default posture sits 0.673 of the way up this muscle's own travel, so no window puts it at or below the force peak; the window is centred instead
FDS4	A	73.600	FDSR	422.2510	480.9020	0.64038	1.43727	73.5999	375.1191	yes	422.088	480.218	the default posture sits 0.682 of the way up this muscle's own travel, so no window puts it at or below the force peak; the window is centred instead
FDS3	A-f	91.590	fallback, span over 0.8540, because FDSM's published 74.90 mm needs a window 1.044 wide and the usable support is 0.8540	313.1140	391.3340	0.61181	1.46583	91.5904	257.0781	yes	312.390	391.446	the default posture sits 0.761 of the way up this muscle's own travel, so no window puts it at or below the force peak; the window is centred instead
FDS2	A	83.500	FDSI	322.6820	392.7090	0.61950	1.45815	83.4997	270.9540	yes	330.149	392.331	the default posture sits 0.731 of the way up this muscle's own travel, so no window puts it at or below the force peak; the window is centred instead
FDP5	A	74.900	FDPL	369.8680	427.6780	0.65291	1.42474	74.8999	320.9651	yes	387.224	450.745	the default posture sits 0.783 of the way up this muscle's own travel, so no window puts it at or below the force peak; the window is centred instead
FDP4	A	79.800	FDPR	350.7330	414.9070	0.63673	1.44092	79.7995	299.9222	yes	348.164	417.976	the default posture sits 0.784 of the way up this muscle's own travel, so no window puts it at or below the force peak; the window is centred instead
FDP3	A	83.500	FDPM	337.6190	402.3040	0.65148	1.42615	83.5001	283.2204	yes	336.078	398.672	the default posture sits 0.771 of the way up this muscle's own travel, so no window puts it at or below the force peak; the window is centred instead
FDP2	A-f	89.548	fallback, span over 0.8540, because FDPI's published 74.90 mm needs a window 1.021 wide and the usable support is 0.8540	329.1050	405.5810	0.61181	1.46583	89.5483	274.3185	yes	336.953	402.610	the default posture sits 0.782 of the way up this muscle's own travel, so no window puts it at or below the force peak; the window is centred instead
EDC5	A	65.000	EDCL	378.3720	425.2360	0.72788	1.44886	65.0004	331.0595	yes	381.709	426.592	
EDC4	A-f	72.947	fallback, span over 0.8540, because EDCR's published 62.60 mm needs a window 0.995 wide and the usable support is 0.8540	389.5180	451.8160	0.61181	1.46583	72.9468	344.8884	yes	391.706	456.154	
EDC3	A	72.400	EDCM	396.1520	453.3330	0.67604	1.46583	72.4003	347.2065	yes	399.791	456.735	
EDC2	A	70.000	EDCI	392.7930	451.1940	0.63153	1.46583	70.0000	348.5859	yes	395.914	455.475	
EDM	A	67.500	EDM	373.9040	416.3040	0.75283	1.38098	67.4998	323.0881	yes	377.070	417.549	
EIP	A	58.900	EIP	240.5110	289.4720	0.63457	1.46583	58.8997	203.1350	yes	245.809	291.046	
EPL	A-f	79.182	fallback, span over 0.8540, because EPL's published 54.00 mm needs a window 1.252 wide and the usable support is 0.8540	260.1400	327.7630	0.61181	1.46583	79.1820	211.6957	yes	253.147	327.478	
EPB	A	67.500	EPB	150.2120	194.0770	0.71389	1.36374	67.5002	102.0243	yes	146.292	199.276	the default posture sits 0.623 of the way up this muscle's own travel, so no window puts it at or below the force peak; the window is centred instead
FPL	A-f	60.291	fallback, span over 0.8540, because FPL's published 55.20 mm needs a window 0.933 wide and the usable support is 0.8540	233.0050	284.4950	0.61181	1.46583	60.2913	196.1182	yes	222.870	279.670	the default posture sits 0.605 of the way up this muscle's own travel, so no window puts it at or below the force peak; the window is centred instead
APL	A	71.300	APL	217.6080	241.6330	0.80910	1.14606	71.2993	159.9198	yes	216.562	242.392	
OP	A	43.600	OPP	34.3300	52.4380	0.76500	1.18032	43.6001	0.9759	yes	31.426	51.871	
FPB	A	50.900	FPB	43.5790	65.7500	0.75261	1.18819	50.8999	5.2712	yes	43.570	65.755	
AdP	A-f	52.969	fallback, span over 0.8540, because ADPt+ADPo's published 37.33 mm needs a window 1.212 wide and the usable support is 0.8540	23.8630	69.1000	0.45050	1.30452	52.9695	0.0002	yes	19.504	69.106	no window is both physically possible and inside the usable support: keeping the derived tendon non-negative caps range[0] at 0.4505 and the support starts at 0.6118. THE PHYSICALLY POSSIBLE SIDE IS TAKEN, on her ruling of September 10, 2026 that the model must stop being impossible. THE COST: at its most contracted reachable posture this muscle produces under a tenth of its peak force; the default posture sits 0.541 of the way up this muscle's own travel, so no window puts it at or below the force peak; the window is centred instead
APB	A	51.100	APB	40.4680	53.9870	0.79193	1.05649	51.0999	0.0004	yes	40.461	53.989	
FDM	A	49.830	FDM	50.8240	66.0620	0.71856	1.02436	49.8300	15.0182	yes	50.818	66.062	
ADM	A	56.700	ADM	61.2680	71.7930	0.84081	1.02644	56.6988	13.5951	yes	61.263	72.174	
RI2	B	21.905	fallback, span over 0.8540	31.4180	50.1250	0.61181	1.46583	21.9046	18.0165	yes	31.519	50.347	the default posture sits 0.808 of the way up this muscle's own travel, so no window puts it at or below the force peak; the window is centred instead
LU_RB2	C	16.168	fallback, span over 0.8540	90.5090	104.3170	0.61181	1.46583	16.1682	80.6171	yes	90.345	105.889	the default posture sits 0.492 of the way up this muscle's own travel, so no window puts it at or below the force peak; the window is centred instead
UI_UB2	C	18.394	fallback, span over 0.8540	91.1580	106.8670	0.61181	1.46583	18.3942	79.9043	yes	91.326	105.141	
RI3	B	18.459	fallback, span over 0.8540	35.8900	51.6540	0.61181	1.46583	18.4586	24.5969	yes	35.837	50.972	the default posture sits 0.846 of the way up this muscle's own travel, so no window puts it at or below the force peak; the window is centred instead
LU_RB3	C	16.117	fallback, span over 0.8540	83.7270	97.4910	0.61181	1.46583	16.1167	73.8666	yes	82.760	98.832	the default posture sits 0.697 of the way up this muscle's own travel, so no window puts it at or below the force peak; the window is centred instead
UI_UB3	C	11.205	fallback, span over 0.8540	86.8980	96.4670	0.61181	1.46583	11.2047	80.0429	yes	86.894	96.486	the default posture sits 0.588 of the way up this muscle's own travel, so no window puts it at or below the force peak; the window is centred instead
RI4	B	19.807	fallback, span over 0.8540	42.6200	59.5360	0.61181	1.46583	19.8075	30.5016	yes	43.557	58.459	the default posture sits 0.837 of the way up this muscle's own travel, so no window puts it at or below the force peak; the window is centred instead
LU_RB4	C	9.305	fallback, span over 0.8540	71.7450	79.6920	0.61181	1.46583	9.3054	66.0519	yes	71.743	80.033	the default posture sits 0.671 of the way up this muscle's own travel, so no window puts it at or below the force peak; the window is centred instead
UI_UB4	C	11.223	fallback, span over 0.8540	75.2790	84.8640	0.61181	1.46583	11.2234	68.4124	yes	75.273	85.199	
RI5	B	20.660	fallback, span over 0.8540	27.1260	44.7700	0.61181	1.46583	20.6599	14.4860	yes	27.118	44.772	the default posture sits 0.793 of the way up this muscle's own travel, so no window puts it at or below the force peak; the window is centred instead
LU_RB5	C	20.743	fallback, span over 0.8540	90.4270	108.1420	0.61181	1.46583	20.7431	77.7362	yes	90.423	108.145	
UI_UB5	D	15.813	fallback, span over 0.8540	89.5300	103.0350	0.61181	1.46583	15.8134	79.8552	yes	89.529	103.735	the default posture sits 0.546 of the way up this muscle's own travel, so no window puts it at or below the force peak; the window is centred instead
